UBIGEO,DEP,PROV,DIST,UBIGEOCP,GROUP,NOMCP,LAT,LNG
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130078,INNOVALAB,NUEVO TRIUNFO,-4.12637,-73.49824911
160301,LORETO,LORETO,NAUTA,1603010008,INNOVALAB,VILLA PUERTO CRUZ,-4.35176441,-73.4724074
160103,LORETO,MAYNAS,FERNANDO LORES,1601030096,INNOVALAB,SANTA CATALINA,-4.19140175,-73.36416549
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130079,INNOVALAB,EL HUAMBE,-4.15732076,-73.50460929
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130090,INNOVALAB,SAN MARTIN II ZONA,-4.17876023,-73.43807024
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130055,INNOVALAB,12 DE ABRIL,-4.21977635,-73.4838013
160301,LORETO,LORETO,NAUTA,1603010099,INNOVALAB,1 DE FEBRERO,-4.35713803,-73.55274867
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130089,INNOVALAB,23 DE FEBRERO,-4.149769549,-73.45847309
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130039,INNOVALAB,EX PETROLEROS II ZONA,-4.064826667,-73.47498
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130029,INNOVALAB,24 DE JUNIO,-4.02122282,-73.42372517
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130018,DIRESA,ZUNGAROCOCHA,-3.82805974,-73.3551862
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130005,INNOVALAB,NINA RUMI,-3.84512812,-73.38648037
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130006,DIRESA,LLANCHAMA,-3.85797192,-73.40921615
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130020,INNOVALAB,5 DE JUNIO,-4.00354485,-73.39317678
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130045,INNOVALAB,SAN LUCAS,-4.10327409,-73.45425593
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130032,DIRESA,EL PAUJIL,-4.04225443,-73.43779829
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130026,INNOVALAB,SAN JOSE,-3.93204651,-73.39179954
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130024,DIRESA,EL VARILLAL,-3.8896413,-73.35390623
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130028,INNOVALAB,EL DORADO,-3.95367547,-73.40452348
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130017,DIRESA,QUISTOCOCHA,-3.82279307,-73.32586935
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130065,INNOVALAB,SAN CARLOS,-3.95923707,-73.34463951
160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130097,INNOVALAB,SHUSHUNA,-3.830151545,-73.33552296
