distance,codcp,etp,ghm,humidity,pop,pp,runnof,soil,tmmx,tmmn,group
Very proximate,1601130070,0.35740137504630515,0.7282748410190263,0.6830535571542667,0.9487659859145404,0.8462113154686938,0.8443785704130181,0.34180017752574976,0.4144133570354825,0.15009337117350563,1
Very proximate,1601130004,0.4278322384507531,0.5872080256211044,0.8509192645882615,0.2616002784840593,0.8839384649374513,0.8987755885128973,0,1,0.3289901844057451,2
Very proximate,1601130098,0.39767701124443633,0.6490391882141616,0.8141486810551408,0.5760829559983888,0.9558595980122634,0.9461178533587852,0.19554047504015362,0.7170148587437696,0.13830734455853175,2
Very proximate,1601120076,0.7668962554553499,0.31237189549646593,0.6470823341326488,0.7000250101555611,0.35011662489530193,0.40684227370645976,0.6184794451336274,0.059500907805164364,0.46841748721529824,3
Proximate,1601130026,0.008351885908253691,1,0.3814957594448884,0.326392819633668,0.9131829280635962,0.9159746393464272,0.32868397372271196,0.21632404800163632,0.04743510403056139,1
Proximate,1601130025,0.4045427374339125,0.9528786465831762,1,1,0.7680885180212494,0.7469171895539903,0.44180314573012136,0,0.4465106190575841,2
Proximate,1601130065,0.4217611449005432,0.026688643063171317,0.8610639938319042,0.3068638848988214,0.5797385010795381,0.58831276918713,0.8172076384167533,0.10653881627238984,0.7729511873310141,2
Proximate,1601130020,1,0.5460311528766443,0.8513492675404826,0.24593129152392634,0.36511610022689,0.3682990440006369,1,0.6629062538527017,1,3
Distant,1601130099,0.34028612043402695,0.7602045871689496,0.2808978122928387,0.8153612234644471,0.7006508678015915,0.697579520921823,0.39336259852337035,0.3547193747101372,0.4907620015930665,1
Distant,1601130045,0.41630618539081715,0.38590978221721034,0.4792120465953283,0.6435868493569404,0.352359227941288,0.35246723260609397,0.6778329611444104,0.6876547262538899,0.7652557772996369,1
Distant,1601130044,0.5880197281162917,0.29815497226403165,0.5657732739842777,0.345136712396369,0.2094303362504488,0.20654722801954897,0.8279591117133194,0.7906258312902918,0.8602409373490453,2
Distant,1601130088,0.27906410959022415,0.26973327230948535,0.2592101524765754,0.15834577482617912,0.19153372528022208,0.18539990119992567,0.667704375550642,0.8104224216694077,0.6464483143666675,2
Very distant,1601130078,0.29572357132607074,0.8224756723594397,0.15351019087673098,0.1301338197202009,1,1,0,0,0,1
Very distant,1601130083,0,0.7367218943221343,0.6790682626981533,0.33007699596708595,0.6746428298162568,0.6985881799543607,0.5709007632324633,0.20760770993219624,0.540878007366262,1
Very distant,1601130079,0.8346511400515506,0.9011926364768625,0.2753963118731753,0.19813494920694616,0.888744455488787,0.8973445411116625,0.33078346451116714,0.11719997241572361,0.22132367813222184,1
Very distant,1603010099,0.03384967689491558,0,0,0.21040053757629,0.2656683978949075,0.29430519593411,1,0.4724801264073045,0.2709354641363214,2
Very distant,1601130057,0.2513279211136758,0.38067537152086145,0.6353930766742141,0,0.506979474472024,0.5332296853343916,0.6664959343447109,0.45860106699220765,0.5826346713277875,2
